# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
41.595660;3.547943;46.801574;-0.992333;-0.010387;7.500000;0.000000
41.795639;3.657079;46.634007;-0.994829;-0.014572;7.500000;0.000000
41.995619;3.765732;46.466118;-0.998063;-0.016162;7.500000;0.000000
42.195598;3.873866;46.297860;-1.001027;-0.013472;7.500000;0.000000
42.395577;3.981537;46.129328;-1.003452;-0.010779;7.500000;0.000000
42.595556;4.088837;45.960574;-1.005338;-0.008084;7.500000;0.000000
42.795535;4.195859;45.791655;-1.006685;-0.005388;7.500000;0.000000
42.995514;4.302697;45.622624;-1.007493;-0.002692;7.500000;0.000000
43.195493;4.409444;45.453537;-1.007762;0.000005;7.500000;0.000000
43.395473;4.516191;45.284449;-1.007491;0.002702;7.500000;0.000000
43.595452;4.623033;45.115413;-1.006681;0.005398;7.500000;0.000000
43.795431;4.730062;44.946485;-1.005332;0.008093;7.500000;0.000000
43.995410;4.837365;44.777728;-1.003511;0.009090;7.500000;0.000000
44.195389;4.944968;44.609163;-1.001853;0.007494;7.500000;0.000000
44.395368;5.052829;44.440752;-1.000514;0.005899;7.500000;0.000000
44.595347;5.160892;44.272462;-0.999494;0.004305;7.500000;0.000000
44.795327;5.269101;44.104263;-0.998792;0.002711;7.500000;0.000000
44.995306;5.377400;43.936125;-0.998409;0.001118;7.500000;0.000000
45.195285;5.485733;43.768017;-0.998345;-0.000476;7.500000;0.000000
45.395264;5.594044;43.599908;-0.998599;-0.002070;7.500000;0.000000
45.595243;5.702277;43.431767;-0.999173;-0.003665;7.500000;0.000000
45.795222;5.810376;43.263564;-1.000065;-0.005261;7.500000;0.000000
45.995201;5.918306;43.095236;-1.001240;-0.005957;7.500000;0.000000
46.195180;6.026054;42.926757;-1.002372;-0.005365;7.500000;0.000000
46.395160;6.133612;42.758176;-1.003385;-0.004771;7.500000;0.000000
46.595139;6.241002;42.589503;-1.004280;-0.004177;7.500000;0.000000
46.795118;6.348249;42.420745;-1.005056;-0.003583;7.500000;0.000000
46.995097;6.455375;42.251910;-1.005713;-0.002987;7.500000;0.000000
47.195076;6.562404;42.083005;-1.006250;-0.002392;7.500000;0.000000
47.395055;6.669360;41.914037;-1.006669;-0.001797;7.500000;0.000000
47.595034;6.776264;41.745015;-1.006969;-0.001201;7.500000;0.000000
47.795014;6.883142;41.575946;-1.007150;-0.000606;7.500000;0.000000
47.994993;6.989985;41.406885;-1.007222;-0.000264;7.500000;0.000000
48.194972;7.096797;41.237853;-1.007274;-0.000251;7.500000;0.000000
48.394951;7.203614;41.068795;-1.007323;-0.000239;7.500000;0.000000
48.594930;7.310431;40.899717;-1.007370;-0.000227;7.500000;0.000000
48.794909;7.417247;40.730626;-1.007414;-0.000215;7.500000;0.000000
48.994888;7.524057;40.561526;-1.007456;-0.000203;7.500000;0.000000
49.194868;7.630859;40.392425;-1.007495;-0.000191;7.500000;0.000000
49.394847;7.737648;40.223329;-1.007532;-0.000180;7.500000;0.000000
49.594826;7.844423;40.054243;-1.007567;-0.000168;7.500000;0.000000
49.794805;7.951179;39.885174;-1.007600;-0.000156;7.500000;0.000000
49.994784;8.057944;39.716078;-1.007619;0.000092;7.500000;0.000000
50.194763;8.164735;39.546952;-1.007547;0.000631;7.500000;0.000000
50.394742;8.271532;39.377861;-1.007366;0.001171;7.500000;0.000000
50.594721;8.378359;39.208812;-1.007078;0.001710;7.500000;0.000000
50.794701;8.485237;39.039810;-1.006682;0.002250;7.500000;0.000000
50.994680;8.592186;38.870863;-1.006179;0.002790;7.500000;0.000000
51.194659;8.699230;38.701976;-1.005567;0.003329;7.500000;0.000000
51.394638;8.806388;38.533156;-1.004847;0.003868;7.500000;0.000000
51.594617;8.913684;38.364409;-1.004020;0.004406;7.500000;0.000000
51.794596;9.021138;38.195741;-1.003085;0.004943;7.500000;0.000000
51.994575;9.128743;38.027201;-1.002079;0.004721;7.500000;0.000000
52.194555;9.236490;37.858788;-1.001243;0.003638;7.500000;0.000000
52.394534;9.344371;37.690434;-1.000624;0.002556;7.500000;0.000000
52.594513;9.452348;37.522121;-1.000221;0.001474;7.500000;0.000000
52.794492;9.560382;37.353827;-1.000034;0.000394;7.500000;0.000000
52.994471;9.668435;37.185533;-1.000064;-0.000687;7.500000;0.000000
53.194450;9.776468;37.017219;-1.000309;-0.001767;7.500000;0.000000
53.394429;9.884442;36.848865;-1.000771;-0.002848;7.500000;0.000000
53.594409;9.992320;36.680452;-1.001448;-0.003929;7.500000;0.000000
53.794388;10.100062;36.511959;-1.002342;-0.005010;7.500000;0.000000
53.994367;10.207643;36.343348;-1.003418;-0.005386;7.500000;0.000000
54.194346;10.315050;36.174611;-1.004458;-0.005010;7.500000;0.000000
54.394325;10.422282;36.005776;-1.005422;-0.004633;7.500000;0.000000
54.594304;10.529352;35.836850;-1.006311;-0.004257;7.500000;0.000000
54.794283;10.636272;35.667843;-1.007125;-0.003880;7.500000;0.000000
54.994262;10.743055;35.498762;-1.007863;-0.003503;7.500000;0.000000
55.194242;10.849715;35.329614;-1.008526;-0.003126;7.500000;0.000000
55.394221;10.956264;35.160408;-1.009114;-0.002749;7.500000;0.000000
55.594200;11.062714;34.991151;-1.009626;-0.002372;7.500000;0.000000
55.794179;11.169079;34.821852;-1.010062;-0.001995;7.500000;0.000000
55.994158;11.275384;34.652499;-1.010427;-0.001695;7.500000;0.000000
56.194137;11.381639;34.483097;-1.010744;-0.001473;7.500000;0.000000
56.394116;11.487842;34.313668;-1.011016;-0.001251;7.500000;0.000000
56.594096;11.594002;34.144214;-1.011244;-0.001029;7.500000;0.000000
56.794075;11.700127;33.974737;-1.011428;-0.000807;7.500000;0.000000
56.994054;11.806227;33.805239;-1.011567;-0.000584;7.500000;0.000000
57.194033;11.912311;33.635723;-1.011662;-0.000362;7.500000;0.000000
57.394012;12.018389;33.466190;-1.011712;-0.000140;7.500000;0.000000
57.593991;12.124468;33.296643;-1.011717;0.000083;7.500000;0.000000
57.793970;12.230559;33.127085;-1.011679;0.000305;7.500000;0.000000
57.993950;12.336650;32.957546;-1.011636;-0.000252;7.500000;0.000000
58.193929;12.442723;32.788016;-1.011814;-0.001523;7.500000;0.000000
58.393908;12.548751;32.618442;-1.012245;-0.002793;7.500000;0.000000
58.593887;12.654688;32.448804;-1.012931;-0.004063;7.500000;0.000000
58.793866;12.760488;32.279077;-1.013871;-0.005334;7.500000;0.000000
58.993845;12.866106;32.109240;-1.015065;-0.006605;7.500000;0.000000
59.193824;12.971495;31.939271;-1.016513;-0.007878;7.500000;0.000000
59.393803;13.076609;31.769146;-1.018216;-0.009151;7.500000;0.000000
59.593783;13.181403;31.598844;-1.020173;-0.010426;7.500000;0.000000
59.793762;13.285830;31.428342;-1.022385;-0.011702;7.500000;0.000000
59.993741;13.389878;31.257574;-1.024717;-0.010465;7.500000;0.000000
